ID,Post Title,Post Name,Type,Singular,First Letter,Years,Year
1634,FIT (FOUNDATION FOR TECHNOLOGICAL INNOVATION),fit-foundation-for-technological-innovation,Organisation,1,,2018,2018
1633,NOVARTIS FOUNDATION FOR MEDICAL-BIOLOGICAL RESEARCH,novartis-foundation-for-medical-biological-research,Organisation,1,F,2018,2018
1632,NEVA FOUNDATION,neva-foundation,Organisation,1,,2018,2018
1631,FONDATION EMMA MUSCHAMP,fondation-emma-muschamp-3,Organisation,1,,2018;2019;2020,2018
1613,MGO FONDATION POUR LA RECHERCHE SUR LES MALADIES GÉNÉTIQUES ET ORPHELINES,mgo-fondation-pour-la-recherche-sur-les-maladies-genetiques-et-orphelines-2,Organisation,1,F,2018;2019;2020,2018
1612,FONDATION PIERRE MERCIER POUR LA SCIENCE,fondation-pierre-mercier-pour-la-science-2,Organisation,1,,2018;2019;2020,2018
1611,MCCALL MACBAIN FOUNDATION,mccall-macbain-foundation-2,Organisation,1,F,2018;2019;2020,2018
1610,FONDATION LOMBARD ODIER,fondation-lombard-odier-2,Organisation,1,,2018;2019;2020,2018
1609,FONDATION MARCEL LEVAILLANT,fondation-marcel-levaillant-2,Organisation,1,,2018;2019;2020,2018
1608,LEISTER FOUNDATION,leister-foundation,Organisation,1,,2018;2019;2020,2018
1607,LEENAARDS FOUNDATION,leenaards-foundation,Organisation,1,,2018;2019;2020,2018
1606,FONDATION ORLANDO LAUTI,fondation-orlando-lauti-2,Organisation,1,,2018;2019;2020,2018
1605,STAUB KAISER STIFTUNG,staub-kaiser-stiftung-2,Organisation,1,F,2018;2019,2018
1604,ISREC FOUNDATION,isrec-foundation,Organisation,1,,2018;2019;2020,2018
1603,INTERNATIONAL FOUNDATION FOR RESEARCH IN PARAPLEGIA (IRP),international-foundation-for-research-in-paraplegia-irp,Organisation,1,,2018;2019,2018
1602,HASLER FOUNDATION,hasler-foundation,Organisation,1,,2018;2019;2020,2018
1601,RODOLPHE ET RENÉE HAENNY FOUNDATION,rodolphe-et-renee-haenny-foundation,Organisation,1,,2018;2019;2020,2018
1600,LUCE GRIVAT FOUNDATION,luce-grivat-foundation,Organisation,1,,2018,2018
1596,ERNST GÖHNER FOUNDATION,ernst-gohner-foundation,Organisation,1,,2018;2019;2020,2018
1595,GIVEKA FOUNDATION,giveka-foundation,Organisation,1,,2018;2019;2020,2018
1594,GABRIELLA GIORGI-CAVAGLIERI FOUNDATION,gabriella-giorgi-cavaglieri-foundation,Organisation,1,,2018;2019;2020,2018
1577,FORCE FONDATION RECHERCHE SUR LE CANCER DE L'ENFANT,force-fondation-recherche-sur-le-cancer-de-lenfant-2,Organisation,1,,2018,2018
1576,FONDATION RAOUL FOLLEREAU,fondation-raoul-follereau-2,Organisation,1,,2018,2018
